week_start_target,채수위치,scenario_id,scenario_title,조건,예상,권고_전체,inferred_activity_buckets,manual_activity_plan_메모,manual_담당_부서
2024-07-01,문의,S3,방류 감소·수온 높음,방류 감소 추세와 고수온,체류시간 증가로 조류 증식 가능성,수문·방류 운영 검토 | 취수 수심·위치 조정 가능성 검토,물순환·방류·유입; 취수·위치,,
2024-07-01,문의,S4,Chl-a·pH 상승,클로로필-a 및 pH 상승 추세,"조류 생체량 증가 신호, 유해남조류 증가 가능성",조류 종 분석 강화 | 발령단계 전환 모니터링,모니터링·분석,,
2024-07-08,문의,S2,집중호우·유입 증가,최근 4주 강수·유입 증가 추세,"단기 혼합으로 세포 수 변동 가능, 영양염 유입에 따른 지연 증가 위험",1~2주 후 재예측·채수 주기 단축 | 탁도·유해남조류 동시 추적,모니터링·분석; 물순환·방류·유입,,
2024-07-08,문의,S3,방류 감소·수온 높음,방류 감소 추세와 고수온,체류시간 증가로 조류 증식 가능성,수문·방류 운영 검토 | 취수 수심·위치 조정 가능성 검토,물순환·방류·유입; 취수·위치,,
2024-07-15,문의,S2,집중호우·유입 증가,최근 4주 강수·유입 증가 추세,"단기 혼합으로 세포 수 변동 가능, 영양염 유입에 따른 지연 증가 위험",1~2주 후 재예측·채수 주기 단축 | 탁도·유해남조류 동시 추적,모니터링·분석; 물순환·방류·유입,,
2024-07-15,문의,SX,모델 기반 위험,"관심 이상 확률 약 60%, 예측 세포수(대략) 1061 cells/mL",다음 주 관심 이상 가능성 상대적으로 큼,해당 지점 수질 모니터링 강화 | 취수장 사전 대응·활성탄 등 준비 | 방류량 조정 가능성 검토,모니터링·분석; 물순환·방류·유입; 약품·활성탄; 취수·위치,,
2024-07-22,문의,S2,집중호우·유입 증가,최근 4주 강수·유입 증가 추세,"단기 혼합으로 세포 수 변동 가능, 영양염 유입에 따른 지연 증가 위험",1~2주 후 재예측·채수 주기 단축 | 탁도·유해남조류 동시 추적,모니터링·분석; 물순환·방류·유입,,
2024-07-22,문의,SX,모델 기반 위험,"관심 이상 확률 약 84%, 예측 세포수(대략) 2043 cells/mL",다음 주 관심 이상 가능성 상대적으로 큼,해당 지점 수질 모니터링 강화 | 취수장 사전 대응·활성탄 등 준비 | 방류량 조정 가능성 검토,모니터링·분석; 물순환·방류·유입; 약품·활성탄; 취수·위치,,
2024-07-29,문의,SX,모델 기반 위험,"관심 이상 확률 약 98%, 예측 세포수(대략) 4986 cells/mL",다음 주 관심 이상 가능성 상대적으로 큼,해당 지점 수질 모니터링 강화 | 취수장 사전 대응·활성탄 등 준비 | 방류량 조정 가능성 검토,모니터링·분석; 물순환·방류·유입; 약품·활성탄; 취수·위치,,
2024-08-05,문의,S1,폭염·고일조·방류 감소,"최근 4주 평균 수온 높음, 일조 증가 추세, 방류 감소 추세",정체·광합성 유리 → 남조류 증가 가능성,관심 단계 사전 대응 검토 | 현장 채수·종조성 모니터링 강화 | 취수장·정수 약품 투입 계획 점검,모니터링·분석; 물순환·방류·유입; 약품·활성탄; 취수·위치,,
2024-08-05,문의,S3,방류 감소·수온 높음,방류 감소 추세와 고수온,체류시간 증가로 조류 증식 가능성,수문·방류 운영 검토 | 취수 수심·위치 조정 가능성 검토,물순환·방류·유입; 취수·위치,,
2024-08-05,문의,S4,Chl-a·pH 상승,클로로필-a 및 pH 상승 추세,"조류 생체량 증가 신호, 유해남조류 증가 가능성",조류 종 분석 강화 | 발령단계 전환 모니터링,모니터링·분석,,
2024-08-05,문의,SX,모델 기반 위험,"관심 이상 확률 약 100%, 예측 세포수(대략) 23649 cells/mL",다음 주 관심 이상 가능성 상대적으로 큼,해당 지점 수질 모니터링 강화 | 취수장 사전 대응·활성탄 등 준비 | 방류량 조정 가능성 검토,모니터링·분석; 물순환·방류·유입; 약품·활성탄; 취수·위치,,
2024-08-12,문의,S1,폭염·고일조·방류 감소,"최근 4주 평균 수온 높음, 일조 증가 추세, 방류 감소 추세",정체·광합성 유리 → 남조류 증가 가능성,관심 단계 사전 대응 검토 | 현장 채수·종조성 모니터링 강화 | 취수장·정수 약품 투입 계획 점검,모니터링·분석; 물순환·방류·유입; 약품·활성탄; 취수·위치,,
2024-08-12,문의,S3,방류 감소·수온 높음,방류 감소 추세와 고수온,체류시간 증가로 조류 증식 가능성,수문·방류 운영 검토 | 취수 수심·위치 조정 가능성 검토,물순환·방류·유입; 취수·위치,,
2024-08-12,문의,S4,Chl-a·pH 상승,클로로필-a 및 pH 상승 추세,"조류 생체량 증가 신호, 유해남조류 증가 가능성",조류 종 분석 강화 | 발령단계 전환 모니터링,모니터링·분석,,
2024-08-12,문의,SX,모델 기반 위험,"관심 이상 확률 약 100%, 예측 세포수(대략) 35037 cells/mL",다음 주 관심 이상 가능성 상대적으로 큼,해당 지점 수질 모니터링 강화 | 취수장 사전 대응·활성탄 등 준비 | 방류량 조정 가능성 검토,모니터링·분석; 물순환·방류·유입; 약품·활성탄; 취수·위치,,
2024-08-19,문의,S1,폭염·고일조·방류 감소,"최근 4주 평균 수온 높음, 일조 증가 추세, 방류 감소 추세",정체·광합성 유리 → 남조류 증가 가능성,관심 단계 사전 대응 검토 | 현장 채수·종조성 모니터링 강화 | 취수장·정수 약품 투입 계획 점검,모니터링·분석; 물순환·방류·유입; 약품·활성탄; 취수·위치,,
2024-08-19,문의,S3,방류 감소·수온 높음,방류 감소 추세와 고수온,체류시간 증가로 조류 증식 가능성,수문·방류 운영 검토 | 취수 수심·위치 조정 가능성 검토,물순환·방류·유입; 취수·위치,,
2024-08-19,문의,SX,모델 기반 위험,"관심 이상 확률 약 100%, 예측 세포수(대략) 36396 cells/mL",다음 주 관심 이상 가능성 상대적으로 큼,해당 지점 수질 모니터링 강화 | 취수장 사전 대응·활성탄 등 준비 | 방류량 조정 가능성 검토,모니터링·분석; 물순환·방류·유입; 약품·활성탄; 취수·위치,,
2024-08-26,문의,S3,방류 감소·수온 높음,방류 감소 추세와 고수온,체류시간 증가로 조류 증식 가능성,수문·방류 운영 검토 | 취수 수심·위치 조정 가능성 검토,물순환·방류·유입; 취수·위치,,
2024-08-26,문의,S4,Chl-a·pH 상승,클로로필-a 및 pH 상승 추세,"조류 생체량 증가 신호, 유해남조류 증가 가능성",조류 종 분석 강화 | 발령단계 전환 모니터링,모니터링·분석,,
2024-08-26,문의,SX,모델 기반 위험,"관심 이상 확률 약 100%, 예측 세포수(대략) 32658 cells/mL",다음 주 관심 이상 가능성 상대적으로 큼,해당 지점 수질 모니터링 강화 | 취수장 사전 대응·활성탄 등 준비 | 방류량 조정 가능성 검토,모니터링·분석; 물순환·방류·유입; 약품·활성탄; 취수·위치,,
2024-09-02,문의,S3,방류 감소·수온 높음,방류 감소 추세와 고수온,체류시간 증가로 조류 증식 가능성,수문·방류 운영 검토 | 취수 수심·위치 조정 가능성 검토,물순환·방류·유입; 취수·위치,,
2024-09-02,문의,SX,모델 기반 위험,"관심 이상 확률 약 100%, 예측 세포수(대략) 13309 cells/mL",다음 주 관심 이상 가능성 상대적으로 큼,해당 지점 수질 모니터링 강화 | 취수장 사전 대응·활성탄 등 준비 | 방류량 조정 가능성 검토,모니터링·분석; 물순환·방류·유입; 약품·활성탄; 취수·위치,,
2024-09-09,문의,S3,방류 감소·수온 높음,방류 감소 추세와 고수온,체류시간 증가로 조류 증식 가능성,수문·방류 운영 검토 | 취수 수심·위치 조정 가능성 검토,물순환·방류·유입; 취수·위치,,
2024-09-09,문의,SX,모델 기반 위험,"관심 이상 확률 약 100%, 예측 세포수(대략) 19267 cells/mL",다음 주 관심 이상 가능성 상대적으로 큼,해당 지점 수질 모니터링 강화 | 취수장 사전 대응·활성탄 등 준비 | 방류량 조정 가능성 검토,모니터링·분석; 물순환·방류·유입; 약품·활성탄; 취수·위치,,
2024-09-16,문의,S1,폭염·고일조·방류 감소,"최근 4주 평균 수온 높음, 일조 증가 추세, 방류 감소 추세",정체·광합성 유리 → 남조류 증가 가능성,관심 단계 사전 대응 검토 | 현장 채수·종조성 모니터링 강화 | 취수장·정수 약품 투입 계획 점검,모니터링·분석; 물순환·방류·유입; 약품·활성탄; 취수·위치,,
2024-09-16,문의,S3,방류 감소·수온 높음,방류 감소 추세와 고수온,체류시간 증가로 조류 증식 가능성,수문·방류 운영 검토 | 취수 수심·위치 조정 가능성 검토,물순환·방류·유입; 취수·위치,,
2024-09-16,문의,SX,모델 기반 위험,"관심 이상 확률 약 100%, 예측 세포수(대략) 12814 cells/mL",다음 주 관심 이상 가능성 상대적으로 큼,해당 지점 수질 모니터링 강화 | 취수장 사전 대응·활성탄 등 준비 | 방류량 조정 가능성 검토,모니터링·분석; 물순환·방류·유입; 약품·활성탄; 취수·위치,,
2024-09-23,문의,S2,집중호우·유입 증가,최근 4주 강수·유입 증가 추세,"단기 혼합으로 세포 수 변동 가능, 영양염 유입에 따른 지연 증가 위험",1~2주 후 재예측·채수 주기 단축 | 탁도·유해남조류 동시 추적,모니터링·분석; 물순환·방류·유입,,
2024-09-23,문의,S3,방류 감소·수온 높음,방류 감소 추세와 고수온,체류시간 증가로 조류 증식 가능성,수문·방류 운영 검토 | 취수 수심·위치 조정 가능성 검토,물순환·방류·유입; 취수·위치,,
2024-09-23,문의,SX,모델 기반 위험,"관심 이상 확률 약 100%, 예측 세포수(대략) 19901 cells/mL",다음 주 관심 이상 가능성 상대적으로 큼,해당 지점 수질 모니터링 강화 | 취수장 사전 대응·활성탄 등 준비 | 방류량 조정 가능성 검토,모니터링·분석; 물순환·방류·유입; 약품·활성탄; 취수·위치,,
2024-09-30,문의,S1,폭염·고일조·방류 감소,"최근 4주 평균 수온 높음, 일조 증가 추세, 방류 감소 추세",정체·광합성 유리 → 남조류 증가 가능성,관심 단계 사전 대응 검토 | 현장 채수·종조성 모니터링 강화 | 취수장·정수 약품 투입 계획 점검,모니터링·분석; 물순환·방류·유입; 약품·활성탄; 취수·위치,,
2024-09-30,문의,S3,방류 감소·수온 높음,방류 감소 추세와 고수온,체류시간 증가로 조류 증식 가능성,수문·방류 운영 검토 | 취수 수심·위치 조정 가능성 검토,물순환·방류·유입; 취수·위치,,
2024-09-30,문의,SX,모델 기반 위험,"관심 이상 확률 약 100%, 예측 세포수(대략) 19435 cells/mL",다음 주 관심 이상 가능성 상대적으로 큼,해당 지점 수질 모니터링 강화 | 취수장 사전 대응·활성탄 등 준비 | 방류량 조정 가능성 검토,모니터링·분석; 물순환·방류·유입; 약품·활성탄; 취수·위치,,
2024-10-07,문의,S3,방류 감소·수온 높음,방류 감소 추세와 고수온,체류시간 증가로 조류 증식 가능성,수문·방류 운영 검토 | 취수 수심·위치 조정 가능성 검토,물순환·방류·유입; 취수·위치,,
2024-10-07,문의,SX,모델 기반 위험,"관심 이상 확률 약 100%, 예측 세포수(대략) 13974 cells/mL",다음 주 관심 이상 가능성 상대적으로 큼,해당 지점 수질 모니터링 강화 | 취수장 사전 대응·활성탄 등 준비 | 방류량 조정 가능성 검토,모니터링·분석; 물순환·방류·유입; 약품·활성탄; 취수·위치,,
2024-10-14,문의,S1,폭염·고일조·방류 감소,"최근 4주 평균 수온 높음, 일조 증가 추세, 방류 감소 추세",정체·광합성 유리 → 남조류 증가 가능성,관심 단계 사전 대응 검토 | 현장 채수·종조성 모니터링 강화 | 취수장·정수 약품 투입 계획 점검,모니터링·분석; 물순환·방류·유입; 약품·활성탄; 취수·위치,,
2024-10-14,문의,S3,방류 감소·수온 높음,방류 감소 추세와 고수온,체류시간 증가로 조류 증식 가능성,수문·방류 운영 검토 | 취수 수심·위치 조정 가능성 검토,물순환·방류·유입; 취수·위치,,
2024-10-14,문의,SX,모델 기반 위험,"관심 이상 확률 약 100%, 예측 세포수(대략) 10181 cells/mL",다음 주 관심 이상 가능성 상대적으로 큼,해당 지점 수질 모니터링 강화 | 취수장 사전 대응·활성탄 등 준비 | 방류량 조정 가능성 검토,모니터링·분석; 물순환·방류·유입; 약품·활성탄; 취수·위치,,
2024-10-21,문의,S2,집중호우·유입 증가,최근 4주 강수·유입 증가 추세,"단기 혼합으로 세포 수 변동 가능, 영양염 유입에 따른 지연 증가 위험",1~2주 후 재예측·채수 주기 단축 | 탁도·유해남조류 동시 추적,모니터링·분석; 물순환·방류·유입,,
2024-10-21,문의,S3,방류 감소·수온 높음,방류 감소 추세와 고수온,체류시간 증가로 조류 증식 가능성,수문·방류 운영 검토 | 취수 수심·위치 조정 가능성 검토,물순환·방류·유입; 취수·위치,,
2024-10-21,문의,SX,모델 기반 위험,"관심 이상 확률 약 98%, 예측 세포수(대략) 4497 cells/mL",다음 주 관심 이상 가능성 상대적으로 큼,해당 지점 수질 모니터링 강화 | 취수장 사전 대응·활성탄 등 준비 | 방류량 조정 가능성 검토,모니터링·분석; 물순환·방류·유입; 약품·활성탄; 취수·위치,,
2024-10-28,문의,SX,모델 기반 위험,"관심 이상 확률 약 54%, 예측 세포수(대략) 849 cells/mL",다음 주 관심 이상 가능성 상대적으로 큼,해당 지점 수질 모니터링 강화 | 취수장 사전 대응·활성탄 등 준비 | 방류량 조정 가능성 검토,모니터링·분석; 물순환·방류·유입; 약품·활성탄; 취수·위치,,
2024-11-04,문의,S3,방류 감소·수온 높음,방류 감소 추세와 고수온,체류시간 증가로 조류 증식 가능성,수문·방류 운영 검토 | 취수 수심·위치 조정 가능성 검토,물순환·방류·유입; 취수·위치,,
2024-11-11,문의,S3,방류 감소·수온 높음,방류 감소 추세와 고수온,체류시간 증가로 조류 증식 가능성,수문·방류 운영 검토 | 취수 수심·위치 조정 가능성 검토,물순환·방류·유입; 취수·위치,,
2024-11-11,문의,S4,Chl-a·pH 상승,클로로필-a 및 pH 상승 추세,"조류 생체량 증가 신호, 유해남조류 증가 가능성",조류 종 분석 강화 | 발령단계 전환 모니터링,모니터링·분석,,
2024-11-18,문의,S3,방류 감소·수온 높음,방류 감소 추세와 고수온,체류시간 증가로 조류 증식 가능성,수문·방류 운영 검토 | 취수 수심·위치 조정 가능성 검토,물순환·방류·유입; 취수·위치,,
2024-11-18,문의,S4,Chl-a·pH 상승,클로로필-a 및 pH 상승 추세,"조류 생체량 증가 신호, 유해남조류 증가 가능성",조류 종 분석 강화 | 발령단계 전환 모니터링,모니터링·분석,,
2024-11-25,문의,S0,특이 패턴 없음,주요 시나리오 조건 미충족,상시 모니터링 유지,정기 관측 유지,모니터링·분석,,
2024-12-02,문의,S0,특이 패턴 없음,주요 시나리오 조건 미충족,상시 모니터링 유지,정기 관측 유지,모니터링·분석,,
2024-12-09,문의,S0,특이 패턴 없음,주요 시나리오 조건 미충족,상시 모니터링 유지,정기 관측 유지,모니터링·분석,,
2024-12-16,문의,S0,특이 패턴 없음,주요 시나리오 조건 미충족,상시 모니터링 유지,정기 관측 유지,모니터링·분석,,
2024-12-23,문의,S0,특이 패턴 없음,주요 시나리오 조건 미충족,상시 모니터링 유지,정기 관측 유지,모니터링·분석,,
2024-12-30,문의,S0,특이 패턴 없음,주요 시나리오 조건 미충족,상시 모니터링 유지,정기 관측 유지,모니터링·분석,,
2025-01-06,문의,S0,특이 패턴 없음,주요 시나리오 조건 미충족,상시 모니터링 유지,정기 관측 유지,모니터링·분석,,
2025-01-13,문의,S0,특이 패턴 없음,주요 시나리오 조건 미충족,상시 모니터링 유지,정기 관측 유지,모니터링·분석,,
2025-02-03,문의,S0,특이 패턴 없음,주요 시나리오 조건 미충족,상시 모니터링 유지,정기 관측 유지,모니터링·분석,,
2025-02-10,문의,S0,특이 패턴 없음,주요 시나리오 조건 미충족,상시 모니터링 유지,정기 관측 유지,모니터링·분석,,
2025-02-17,문의,S0,특이 패턴 없음,주요 시나리오 조건 미충족,상시 모니터링 유지,정기 관측 유지,모니터링·분석,,
2025-02-24,문의,S0,특이 패턴 없음,주요 시나리오 조건 미충족,상시 모니터링 유지,정기 관측 유지,모니터링·분석,,
2025-03-03,문의,S4,Chl-a·pH 상승,클로로필-a 및 pH 상승 추세,"조류 생체량 증가 신호, 유해남조류 증가 가능성",조류 종 분석 강화 | 발령단계 전환 모니터링,모니터링·분석,,
2025-03-10,문의,S0,특이 패턴 없음,주요 시나리오 조건 미충족,상시 모니터링 유지,정기 관측 유지,모니터링·분석,,
2025-03-17,문의,S0,특이 패턴 없음,주요 시나리오 조건 미충족,상시 모니터링 유지,정기 관측 유지,모니터링·분석,,
2025-03-24,문의,S0,특이 패턴 없음,주요 시나리오 조건 미충족,상시 모니터링 유지,정기 관측 유지,모니터링·분석,,
2025-03-31,문의,S0,특이 패턴 없음,주요 시나리오 조건 미충족,상시 모니터링 유지,정기 관측 유지,모니터링·분석,,
2025-04-07,문의,S0,특이 패턴 없음,주요 시나리오 조건 미충족,상시 모니터링 유지,정기 관측 유지,모니터링·분석,,
2025-04-14,문의,S0,특이 패턴 없음,주요 시나리오 조건 미충족,상시 모니터링 유지,정기 관측 유지,모니터링·분석,,
2025-04-21,문의,S4,Chl-a·pH 상승,클로로필-a 및 pH 상승 추세,"조류 생체량 증가 신호, 유해남조류 증가 가능성",조류 종 분석 강화 | 발령단계 전환 모니터링,모니터링·분석,,
2025-04-28,문의,S4,Chl-a·pH 상승,클로로필-a 및 pH 상승 추세,"조류 생체량 증가 신호, 유해남조류 증가 가능성",조류 종 분석 강화 | 발령단계 전환 모니터링,모니터링·분석,,
2025-05-05,문의,S0,특이 패턴 없음,주요 시나리오 조건 미충족,상시 모니터링 유지,정기 관측 유지,모니터링·분석,,
2025-05-12,문의,S0,특이 패턴 없음,주요 시나리오 조건 미충족,상시 모니터링 유지,정기 관측 유지,모니터링·분석,,
2025-05-19,문의,S2,집중호우·유입 증가,최근 4주 강수·유입 증가 추세,"단기 혼합으로 세포 수 변동 가능, 영양염 유입에 따른 지연 증가 위험",1~2주 후 재예측·채수 주기 단축 | 탁도·유해남조류 동시 추적,모니터링·분석; 물순환·방류·유입,,
2025-05-26,문의,S4,Chl-a·pH 상승,클로로필-a 및 pH 상승 추세,"조류 생체량 증가 신호, 유해남조류 증가 가능성",조류 종 분석 강화 | 발령단계 전환 모니터링,모니터링·분석,,
2025-06-02,문의,S4,Chl-a·pH 상승,클로로필-a 및 pH 상승 추세,"조류 생체량 증가 신호, 유해남조류 증가 가능성",조류 종 분석 강화 | 발령단계 전환 모니터링,모니터링·분석,,
2025-06-09,문의,S4,Chl-a·pH 상승,클로로필-a 및 pH 상승 추세,"조류 생체량 증가 신호, 유해남조류 증가 가능성",조류 종 분석 강화 | 발령단계 전환 모니터링,모니터링·분석,,
2025-06-16,문의,S2,집중호우·유입 증가,최근 4주 강수·유입 증가 추세,"단기 혼합으로 세포 수 변동 가능, 영양염 유입에 따른 지연 증가 위험",1~2주 후 재예측·채수 주기 단축 | 탁도·유해남조류 동시 추적,모니터링·분석; 물순환·방류·유입,,
2025-06-16,문의,S4,Chl-a·pH 상승,클로로필-a 및 pH 상승 추세,"조류 생체량 증가 신호, 유해남조류 증가 가능성",조류 종 분석 강화 | 발령단계 전환 모니터링,모니터링·분석,,
2025-06-23,문의,S2,집중호우·유입 증가,최근 4주 강수·유입 증가 추세,"단기 혼합으로 세포 수 변동 가능, 영양염 유입에 따른 지연 증가 위험",1~2주 후 재예측·채수 주기 단축 | 탁도·유해남조류 동시 추적,모니터링·분석; 물순환·방류·유입,,
2025-06-23,문의,S4,Chl-a·pH 상승,클로로필-a 및 pH 상승 추세,"조류 생체량 증가 신호, 유해남조류 증가 가능성",조류 종 분석 강화 | 발령단계 전환 모니터링,모니터링·분석,,
2025-06-30,문의,S2,집중호우·유입 증가,최근 4주 강수·유입 증가 추세,"단기 혼합으로 세포 수 변동 가능, 영양염 유입에 따른 지연 증가 위험",1~2주 후 재예측·채수 주기 단축 | 탁도·유해남조류 동시 추적,모니터링·분석; 물순환·방류·유입,,
2025-07-07,문의,S1,폭염·고일조·방류 감소,"최근 4주 평균 수온 높음, 일조 증가 추세, 방류 감소 추세",정체·광합성 유리 → 남조류 증가 가능성,관심 단계 사전 대응 검토 | 현장 채수·종조성 모니터링 강화 | 취수장·정수 약품 투입 계획 점검,모니터링·분석; 물순환·방류·유입; 약품·활성탄; 취수·위치,,
2025-07-07,문의,S3,방류 감소·수온 높음,방류 감소 추세와 고수온,체류시간 증가로 조류 증식 가능성,수문·방류 운영 검토 | 취수 수심·위치 조정 가능성 검토,물순환·방류·유입; 취수·위치,,
2025-07-14,문의,S1,폭염·고일조·방류 감소,"최근 4주 평균 수온 높음, 일조 증가 추세, 방류 감소 추세",정체·광합성 유리 → 남조류 증가 가능성,관심 단계 사전 대응 검토 | 현장 채수·종조성 모니터링 강화 | 취수장·정수 약품 투입 계획 점검,모니터링·분석; 물순환·방류·유입; 약품·활성탄; 취수·위치,,
2025-07-14,문의,S3,방류 감소·수온 높음,방류 감소 추세와 고수온,체류시간 증가로 조류 증식 가능성,수문·방류 운영 검토 | 취수 수심·위치 조정 가능성 검토,물순환·방류·유입; 취수·위치,,
2025-07-21,문의,S2,집중호우·유입 증가,최근 4주 강수·유입 증가 추세,"단기 혼합으로 세포 수 변동 가능, 영양염 유입에 따른 지연 증가 위험",1~2주 후 재예측·채수 주기 단축 | 탁도·유해남조류 동시 추적,모니터링·분석; 물순환·방류·유입,,
2025-07-21,문의,S3,방류 감소·수온 높음,방류 감소 추세와 고수온,체류시간 증가로 조류 증식 가능성,수문·방류 운영 검토 | 취수 수심·위치 조정 가능성 검토,물순환·방류·유입; 취수·위치,,
2025-07-21,문의,SX,모델 기반 위험,"관심 이상 확률 약 98%, 예측 세포수(대략) 4965 cells/mL",다음 주 관심 이상 가능성 상대적으로 큼,해당 지점 수질 모니터링 강화 | 취수장 사전 대응·활성탄 등 준비 | 방류량 조정 가능성 검토,모니터링·분석; 물순환·방류·유입; 약품·활성탄; 취수·위치,,
2025-07-28,문의,SX,모델 기반 위험,"관심 이상 확률 약 100%, 예측 세포수(대략) 7227 cells/mL",다음 주 관심 이상 가능성 상대적으로 큼,해당 지점 수질 모니터링 강화 | 취수장 사전 대응·활성탄 등 준비 | 방류량 조정 가능성 검토,모니터링·분석; 물순환·방류·유입; 약품·활성탄; 취수·위치,,
2025-08-04,문의,S2,집중호우·유입 증가,최근 4주 강수·유입 증가 추세,"단기 혼합으로 세포 수 변동 가능, 영양염 유입에 따른 지연 증가 위험",1~2주 후 재예측·채수 주기 단축 | 탁도·유해남조류 동시 추적,모니터링·분석; 물순환·방류·유입,,
2025-08-04,문의,S4,Chl-a·pH 상승,클로로필-a 및 pH 상승 추세,"조류 생체량 증가 신호, 유해남조류 증가 가능성",조류 종 분석 강화 | 발령단계 전환 모니터링,모니터링·분석,,
2025-08-04,문의,SX,모델 기반 위험,"관심 이상 확률 약 100%, 예측 세포수(대략) 9309 cells/mL",다음 주 관심 이상 가능성 상대적으로 큼,해당 지점 수질 모니터링 강화 | 취수장 사전 대응·활성탄 등 준비 | 방류량 조정 가능성 검토,모니터링·분석; 물순환·방류·유입; 약품·활성탄; 취수·위치,,
2025-08-11,문의,S4,Chl-a·pH 상승,클로로필-a 및 pH 상승 추세,"조류 생체량 증가 신호, 유해남조류 증가 가능성",조류 종 분석 강화 | 발령단계 전환 모니터링,모니터링·분석,,
2025-08-11,문의,SX,모델 기반 위험,"관심 이상 확률 약 100%, 예측 세포수(대략) 27383 cells/mL",다음 주 관심 이상 가능성 상대적으로 큼,해당 지점 수질 모니터링 강화 | 취수장 사전 대응·활성탄 등 준비 | 방류량 조정 가능성 검토,모니터링·분석; 물순환·방류·유입; 약품·활성탄; 취수·위치,,
2025-08-18,문의,S2,집중호우·유입 증가,최근 4주 강수·유입 증가 추세,"단기 혼합으로 세포 수 변동 가능, 영양염 유입에 따른 지연 증가 위험",1~2주 후 재예측·채수 주기 단축 | 탁도·유해남조류 동시 추적,모니터링·분석; 물순환·방류·유입,,
2025-08-18,문의,S3,방류 감소·수온 높음,방류 감소 추세와 고수온,체류시간 증가로 조류 증식 가능성,수문·방류 운영 검토 | 취수 수심·위치 조정 가능성 검토,물순환·방류·유입; 취수·위치,,
2025-08-18,문의,S4,Chl-a·pH 상승,클로로필-a 및 pH 상승 추세,"조류 생체량 증가 신호, 유해남조류 증가 가능성",조류 종 분석 강화 | 발령단계 전환 모니터링,모니터링·분석,,
